link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_92.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_98.jpg,a man standing in front of a building next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_85.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_77.jpg,a bunch of birds that are sitting on a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_105.jpg,a black and white photo of a military plane 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_97.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_80.jpg,a clock on the side of a stone building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_93.jpg,a large building with a clock on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_88.jpg,a red brick building with a large clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_96.jpg,a sign that is on the side of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_111.jpg,a bench in a river with trees in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_0.jpg,a woman holding a pink umbrella in her hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_89.jpg,a group of people standing around a train 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_99.jpg,a group of people standing on a sidewalk near a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_104.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_100.jpg,a black and white photo of a man on a skateboard 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_95.jpg,a clock that is on the side of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_90.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_86.jpg,a man standing on top of a wooden bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_103.jpg,a man holding a pizza in a pizza box 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_115.jpg,a picture of a clock on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_101.jpg,a close up of a cake on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_1.jpg,a large group of colorful flowers in a garden 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_116.jpg,a red and white cake is decorated with flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_113.jpg,a woman taking a picture of herself in a mirror 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_110.jpg,a close up of a clock on a wall
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_94.jpg,a river with a bridge in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_108.jpg,a close up of a street sign with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_119.jpg,a black and white photo of a group of soldiers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_109.jpg,a close up of a stop sign on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_9.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_106.jpg,a dog wearing a hat sitting on a chair 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_10.jpg,a woman holding a pink umbrella in her hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_120.jpg,a pair of scissors sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_102.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_114.jpg,a boat filled with lots of different colored umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_112.jpg,a bunch of clocks that are on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_107.jpg,an airplane is flying over a mountain range 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_122.jpg,a black and white photo of a fire hydrant 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_11.jpg,a crowd of people standing around a baseball field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_12.jpg,a man standing in a field with a frisbee 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_121.jpg,a bunch of birds that are sitting on some water
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_117.jpg,a group of kites flying in the air 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_118.jpg,a bunch of different colored scissors on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_127.jpg,a birthday cake with a teddy bear on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_133.jpg,a large group of people in a large room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_123.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_129.jpg,a black and white photo of a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_126.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_131.jpg,a man and a dog on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_124.jpg,a group of people standing around a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_148.jpg,a group of stuffed animals sitting next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_13.jpg,a group of people standing around a table filled with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_128.jpg,a display case filled with lots of fresh produce 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_152.jpg,a bunch of flowers that are in a vase 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_142.jpg,a bunch of different colored ties hanging on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_140.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_141.jpg,a bunch of umbrellas that are in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_137.jpg,a group of people standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_134.jpg,a group of people sitting on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_130.jpg,a group of colorful vases sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_143.jpg,a plane flying in the sky over a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_136.jpg,a group of people standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_146.jpg,a close up of a sign on a pole
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_132.jpg,an umbrella is hanging on a wall
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_15.jpg,a bunch of vases that are on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_144.jpg,a person wearing a mask and a pair of scissors 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_147.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_155.jpg,a vase filled with flowers sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_138.jpg,a statue of a man in a suit and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_145.jpg,a pair of scissors sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_158.jpg,a black and white photo of a man on a skateboard 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_125.jpg,a group of people on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_154.jpg,a woman holding an umbrella over her head 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_150.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_14.jpg,a group of people riding bikes down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_149.jpg,a group of people standing around a large clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_159.jpg,a couple of people that are sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_139.jpg,a group of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_16.jpg,a bunch of stuffed animals sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_166.jpg,a close up of a pair of scissors
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_157.jpg,a close up of a street sign with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_151.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_167.jpg,a group of people on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_156.jpg,a group of stuffed animals sitting on the ground 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_160.jpg,a group of people standing next to a small plane 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_163.jpg,a bench in a river with trees in the background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_164.jpg,a boat filled with lots of different colored umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_177.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_135.jpg,a birthday cake with a number of candles on it
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_168.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_169.jpg,a boat that is sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_182.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_153.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_173.jpg,a picture of a clock on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_162.jpg,a man and a woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_161.jpg,a white and black bird sitting on top of a window sill 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_174.jpg,a black and white photo of a fire hydrant 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_165.jpg,a bunch of birds that are sitting on some water
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_178.jpg,a bunch of flowers in a vase on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_181.jpg,a man standing in front of a store window 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_175.jpg,a birthday cake with a teddy bear on top of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_186.jpg,a black and white photo of a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_172.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_180.jpg,a pair of scissors sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_17.jpg,a group of people walking down a street with umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_179.jpg,a bunch of different colored scissors on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_171.jpg,a red and white cake is decorated with flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_170.jpg,a group of people standing in a field flying kites 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_18.jpg,a boat that is sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_176.jpg,a horse drawn carriage on a city street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_183.jpg,a statue of a man holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_195.jpg,a bunch of colorful umbrellas hanging from a ceiling 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_197.jpg,a man riding a horse down a dirt road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_185.jpg,a group of people riding bikes down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_192.jpg,a man on a skateboard doing a trick 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_190.jpg,a vase with flowers in it sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_189.jpg,a group of people riding skis on a snowy surface
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_184.jpg,a man standing in a field with a frisbee 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_188.jpg,a group of people walking down a street with umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_199.jpg,a group of boats sitting on top of a beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_20.jpg,a man standing in front of a store window 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_193.jpg,a group of people standing next to a train 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_202.jpg,a close up of a person on a skateboard
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_196.jpg,a couple of boats that are sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_19.jpg,a picture of some flowers in a vase 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_204.jpg,a group of people sitting around a table eating food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_198.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_2.jpg,a man standing in front of a forest holding a stick 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_187.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_200.jpg,a bunch of yellow umbrellas on a beach
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_191.jpg,a bunch of different colored ties hanging on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_207.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_206.jpg,a picture of a stop sign and a street sign 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_205.jpg,a close up of a clock on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_203.jpg,a small boat in a body of water
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_214.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_212.jpg,a close up of a clock on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_208.jpg,a group of people riding bikes down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_211.jpg,a close up of a person holding an open umbrella
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_35.jpg,a group of people standing under an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_194.jpg,a group of people sitting on a couch 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_21.jpg,a couple of boats that are sitting in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_22.jpg,a herd of cattle grazing on a lush green hillside 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_31.jpg,a bunch of flowers that are in a vase 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_37.jpg,a group of people riding bikes down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_210.jpg,a close up of a person holding a sign
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_215.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_28.jpg,a man on a skateboard doing a trick 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_30.jpg,a man holding a baseball bat in his hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_24.jpg,a close up of a clock on a wall
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_32.jpg,a group of colorful kites hanging from a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_27.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_39.jpg,a group of people standing on top of a beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_33.jpg,a bunch of flowers in a vase on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_213.jpg,a close up of a pair of scissors on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_4.jpg,a bunch of flowers that are in a vase 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_29.jpg,a close up of a person holding an open umbrella
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_25.jpg,a horse drawn carriage on a city street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_26.jpg,a bunch of different colored ties hanging on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_34.jpg,a vase with flowers in it sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_36.jpg,a man riding a skateboard up the side of a ramp 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_23.jpg,a large group of colorful flowers in a garden 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_3.jpg,a crowd of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_38.jpg,a group of people standing on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_42.jpg,a collage of photos of a person holding a kite
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_46.jpg,a man and a woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_43.jpg,a close up of a flower in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_47.jpg,a bicycle parked in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_55.jpg,a bunch of different colored ties hanging on a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_44.jpg,a group of people sitting on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_52.jpg,a close up of a cake on a table
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_49.jpg,a group of people standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_5.jpg,a table topped with lots of different colored flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_50.jpg,a birthday cake with a number of candles on it
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_40.jpg,a person wearing a mask and a pair of scissors 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_45.jpg,a group of people standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_41.jpg,a bunch of vases that are sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_58.jpg,a teddy bear sitting on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_56.jpg,a bunch of green bananas are hanging from a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_63.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_60.jpg,a man wearing a hat and a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_62.jpg,a group of people standing around a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_65.jpg,a picture of a large body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_59.jpg,a man is standing in the middle of the street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_51.jpg,a group of people standing outside of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_54.jpg,a pair of scissors sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_53.jpg,an umbrella is hanging on a wall
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_57.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_48.jpg,a large group of people in a large room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_70.jpg,a group of baseball bats sitting next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_6.jpg,a vase of flowers sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_61.jpg,a man in a suit and tie holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_71.jpg,a group of stuffed animals sitting next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_64.jpg,a blue and white photo of a stop sign 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_68.jpg,a clock that is sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_69.jpg,a man is walking through a river with an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_73.jpg,a river filled with lots of boats floating on top of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_8.jpg,a group of people standing in front of a christmas tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_83.jpg,a baseball game in progress with the batter up to plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_66.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_82.jpg,a close up of a sign on a pole
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_7.jpg,a group of people standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_76.jpg,a group of people flying kites in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_67.jpg,a man and a dog on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_75.jpg,a group of people standing around a large clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_88.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_79.jpg,a group of people standing on top of a beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_91.jpg,a close up of a street sign with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_74.jpg,a plane flying in the sky over a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_72.jpg,a group of people sitting under umbrellas on a pier 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_93.jpg,a clock that is on the side of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_90.jpg,a bicycle parked in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_84.jpg,a train traveling over a bridge over a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_81.jpg,a bunch of flowers that are in a vase 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_77.jpg,a statue of a man in a suit and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_85.jpg,a group of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_80.jpg,a bunch of umbrellas that are in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_78.jpg,a group of stuffed animals sitting on the ground 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_87.jpg,a man riding a bike down a street next to a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_9.jpg,a crowd of people standing around a giant clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_94.jpg,a black and white photo of a man in a suit
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_89.jpg,a group of people standing next to a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_92.jpg,a flock of birds flying over a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_96.jpg,a collage of pictures of a cartoon character 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_95.jpg,a bunch of umbrellas that are hanging from a ceiling 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_98.jpg,a couple of people that are sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_86.jpg,a man sitting on a bench in front of a tv 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_100.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_0.jpg,a woman standing in front of a flower pot 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_103.jpg,a man standing in front of a mirror holding a toothbrush 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_99.jpg,a group of people standing around a giant clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_108.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam art\Image_2_97.jpg,a vase filled with flowers sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_101.jpg,a woman holding a tennis racquet on a tennis court 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_10.jpg,a statue of a man holding a giant clock 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_109.jpg,a woman in a dress standing next to a statue 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_102.jpg,a little boy standing on a skateboard on a sidewalk 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_104.jpg,a young girl in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_1.jpg,a bunch of ties hanging from a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_118.jpg,a man and woman pose for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_119.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_131.jpg,a woman in a dress shirt and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_113.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_132.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_12.jpg,a man in a suit and tie holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_11.jpg,a man and woman pose for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_106.jpg,a woman in a dress shirt and tie standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_123.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_110.jpg,a man wearing a hat and a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_134.jpg,a woman in a red dress holding a pink frisbee 
D:/SE2023-9.1/SDmodel/data/train\Vietnam clothes\Image_3_117.jpg,a woman wearing a hat and holding an umbrella 
